ens	symbol	length	weight
174	ENSG00000116237	ICMT	14779	0.5
175	ENSG00000225077	LINC00337	4752	0
176	ENSG00000173673	HES3	1399	1
177	ENSG00000158292	GPR153	13745	1
178	ENSG00000097021	ACOT7	130122	1
179	ENSG00000271746	AL031848.2	836	0
180	ENSG00000069812	HES2	12252	1
181	ENSG00000187017	ESPN	36591	1
182	ENSG00000231868	AL031848.1	3972	0
183	ENSG00000215788	TNFRSF25	5409	1
184	ENSG00000171680	PLEKHG5	53969	1
185	ENSG00000162408	NOL9	33166	1
186	ENSG00000173662	TAS1R1	24448	1
187	ENSG00000204859	ZBTB48	9286	1
188	ENSG00000162413	KLHL21	23883	1
189	ENSG00000116273	PHF13	10299	1
190	ENSG00000041988	THAP3	10720	0.5
191	ENSG00000007923	DNAJC11	67756	0
192	ENSG00000228750	LINC01672	5375	0
193	ENSG00000284744	AL591163.1	2084	1
194	ENSG00000237436	CAMTA1-DT	951	0
195	ENSG00000171735	CAMTA1	984252	0.5
196	ENSG00000237365	AL512330.1	5903	0
197	ENSG00000237402	CAMTA1-IT1	1328	1
198	ENSG00000237728	Z97987.1	7267	0
199	ENSG00000225126	AL365194.1	458	0
200	ENSG00000270171	AL359881.3	1720	0
201	ENSG00000270035	AL359881.2	569	0
202	ENSG00000269978	AL359881.1	266	0
203	ENSG00000049245	VAMP3	10136	0.5
204	ENSG00000269925	Z98884.2	392	1
205	ENSG00000049246	PER3	60857	1
206	ENSG00000236266	Z98884.1	17100	0
207	ENSG00000049247	UTS2	10429	1
208	ENSG00000049249	TNFRSF9	27271	1
209	ENSG00000116288	PARK7	31214	0
210	ENSG00000284747	AL034417.4	14178	1
211	ENSG00000284716	AL034417.3	1747	1
212	ENSG00000116285	ERRFI1	21905	1
213	ENSG00000238290	AL034417.2	95964	0
214	ENSG00000227634	LINC01714	13692	0
215	ENSG00000233645	AL358876.2	2339	0
216	ENSG00000162426	SLC45A1	26341	1
217	ENSG00000142599	RERE	496524	1
218	ENSG00000232912	RERE-AS1	10368	0
219	ENSG00000228423	AL357552.2	1191	0
220	ENSG00000074800	ENO1	18190	1
221	ENSG00000230679	ENO1-AS1	1059	0
222	ENSG00000131686	CA6	29225	1
223	ENSG00000197241	SLC2A7	23045	1
224	ENSG00000142583	SLC2A5	53372	1
225	ENSG00000180758	GPR157	28797	1
226	ENSG00000228526	MIR34AHG	50895	0
227	ENSG00000234546	LNCTAM34A	14280	0
228	ENSG00000049239	H6PD	36562	1
229	ENSG00000171621	SPSB1	76638	1
230	ENSG00000284652	BX323043.1	1764	1
231	ENSG00000284693	LINC02606	15470	1
232	ENSG00000235263	AL928921.1	2379	0
233	ENSG00000171612	SLC25A33	45708	0
234	ENSG00000188807	TMEM201	25966	1
235	ENSG00000171608	PIK3CD	77383	1
236	ENSG00000179840	PIK3CD-AS1	1976	0
237	ENSG00000231789	PIK3CD-AS2	15129	0
238	ENSG00000171603	CLSTN1	95500	1
239	ENSG00000178585	CTNNBIP1	62060	0.5
240	ENSG00000223989	AL357140.1	1836	0
241	ENSG00000285701	AL357140.4	7420	1
242	ENSG00000162441	LZIC	21294	1
243	ENSG00000228150	AL357140.2	7051	1
244	ENSG00000173614	NMNAT1	42073	1
245	ENSG00000241326	AL603962.1	1427	1
246	ENSG00000162444	RBP7	18815	1
247	ENSG00000130939	UBE4B	148407	0.5
248	ENSG00000054523	KIF1B	170798	0
249	ENSG00000284735	AL139424.3	5244	1
250	ENSG00000284642	AL139424.2	2016	1
251	ENSG00000142657	PGD	21919	1
252	ENSG00000271989	AL139424.1	796	0
253	ENSG00000175279	CENPS	12375	1
254	ENSG00000241563	CORT	2183	1
255	ENSG00000160049	DFFA	16007	0.5
256	ENSG00000203469	AL354956.1	783	0
257	ENSG00000142655	PEX14	158470	0.5
258	ENSG00000287727	AL139423.2	4230	1
259	ENSG00000130940	CASZ1	160046	1
260	ENSG00000272078	AL139423.1	15092	0
261	ENSG00000175262	C1orf127	35566	1
262	ENSG00000120948	TARDBP	14076	0.5
263	ENSG00000009724	MASP2	20716	1
264	ENSG00000271895	AL109811.2	869	0
265	ENSG00000116649	SRM	5436	0.5
266	ENSG00000171824	EXOSC10	33251	0.5
267	ENSG00000226849	AL109811.1	4626	0
268	ENSG00000230337	EXOSC10-AS1	2425	0
269	ENSG00000198793	MTOR	156016	1
270	ENSG00000225602	MTOR-AS1	5639	0
271	ENSG00000171819	ANGPTL7	6626	1
272	ENSG00000120942	UBIAD1	22843	0.5
273	ENSG00000284646	AL031291.1	7359	1
274	ENSG00000204624	DISP3	58396	1
275	ENSG00000285833	AL590989.1	1213	1
276	ENSG00000235643	LINC01647	3890	0
277	ENSG00000284708	AL031731.1	19858	1
278	ENSG00000116661	FBXO2	18767	1
279	ENSG00000132879	FBXO44	8952	1
280	ENSG00000116663	FBXO6	10154	0.5
281	ENSG00000116670	MAD2L2	17170	0.5
282	ENSG00000162490	DRAXIN	34147	1
283	ENSG00000177674	AGTRAP	18718	1
284	ENSG00000215910	C1orf167	27798	1
285	ENSG00000177553	AL953897.1	2542	0
286	ENSG00000177000	MTHFR	21197	1
287	ENSG00000011021	CLCN6	41983	1
288	ENSG00000175206	NPPA	2636	1
289	ENSG00000120937	NPPB	1481	1
290	ENSG00000285646	AL021155.5	6358	1
291	ENSG00000116685	KIAA2013	6837	0.5
292	ENSG00000083444	PLOD1	41333	0.5
293	ENSG00000287384	AL096840.2	594	1
294	ENSG00000116688	MFN2	33333	0
295	ENSG00000116691	MIIP	12579	0.5
296	ENSG00000120949	TNFRSF8	80904	1
297	ENSG00000285604	AL357835.1	3823	1
298	ENSG00000028137	TNFRSF1B	42237	1
299	ENSG00000048707	VPS13D	282017	1
300	ENSG00000229484	LINC02766	696	0
301	ENSG00000162496	DHRS3	50300	1
302	ENSG00000272482	AC254633.1	344	0
303	ENSG00000204518	AADACL4	22539	1
304	ENSG00000188984	AADACL3	12650	1
305	ENSG00000157330	C1orf158	17499	1
306	ENSG00000116726	PRAMEF12	3065	1
307	ENSG00000116721	PRAMEF1	5231	1
308	ENSG00000228338	LINC01784	473	0
309	ENSG00000239810	PRAMEF11	6805	1
310	ENSG00000179172	HNRNPCL1	1317	1
311	ENSG00000120952	PRAMEF2	4823	1
312	ENSG00000243073	PRAMEF4	6989	1
313	ENSG00000187545	PRAMEF10	5374	1
314	ENSG00000204510	PRAMEF7	3872	1
315	ENSG00000232423	PRAMEF6	9108	1
316	ENSG00000274764	PRAMEF27	7015	1
317	ENSG00000277058	HNRNPCL3	1360	1
318	ENSG00000229571	PRAMEF25	9207	1
319	ENSG00000275774	HNRNPCL2	1366	1
320	ENSG00000233336	AC245056.1	479	0
321	ENSG00000280267	PRAMEF26	7056	1
322	ENSG00000179412	HNRNPCL4	881	1
323	ENSG00000204505	PRAMEF9	7009	1
324	ENSG00000279169	PRAMEF13	5221	1
325	ENSG00000279804	PRAMEF18	3401	1
326	ENSG00000270601	PRAMEF5	9102	1
327	ENSG00000182330	PRAMEF8	4139	1
328	ENSG00000237700	PRAMEF33	5368	1
329	ENSG00000204501	PRAMEF15	7017	1
330	ENSG00000228229	AC243961.1	479	0
331	ENSG00000204481	PRAMEF14	5242	1
332	ENSG00000204480	PRAMEF19	2833	1
333	ENSG00000204479	PRAMEF17	2997	1
334	ENSG00000204478	PRAMEF20	10878	1
335	ENSG00000162494	LRRC38	39030	1
336	ENSG00000259961	AL354712.1	3050	0
337	ENSG00000162493	PDPN	34492	1
338	ENSG00000237445	AL359771.1	2599	0
339	ENSG00000116731	PRDM2	124881	1
340	ENSG00000189337	KAZN	1225251	1
341	ENSG00000231606	AL357873.1	82558	0
342	ENSG00000234593	KAZN-AS1	81148	0
343	ENSG00000287756	AL031293.1	3258	1
344	ENSG00000175147	TMEM51-AS1	41803	0
345	ENSG00000171729	TMEM51	67946	1
346	ENSG00000204464	C1orf195	6973	0
347	ENSG00000142621	FHAD1	153011	1
348	ENSG00000233485	AL031283.2	17196	0
349	ENSG00000236045	AL031283.3	1298	0
350	ENSG00000228140	AL031283.1	6454	0
351	ENSG00000142634	EFHD2	20451	1
352	ENSG00000162438	CTRC	10800	1
353	ENSG00000142615	CELA2A	15363	1
354	ENSG00000215704	CELA2B	25486	1
355	ENSG00000132906	CASP9	35702	0.5
356	ENSG00000116138	DNAJC16	65566	0
357	ENSG00000272510	AL121992.3	345	0
358	ENSG00000116771	AGMAT	13352	0
359	ENSG00000237301	AL121992.1	17490	0
360	ENSG00000197312	DDI2	51586	1
361	ENSG00000215695	RSC1A1	1853	0.5
362	ENSG00000271742	AL121992.2	255	0
363	ENSG00000116786	PLEKHM2	50449	1
364	ENSG00000237938	AL450998.3	16584	0
365	ENSG00000162461	SLC25A34	5134	0
366	ENSG00000224459	SLC25A34-AS1	9845	0
367	ENSG00000162460	TMEM82	5483	1
368	ENSG00000162458	FBLIM1	29987	1
369	ENSG00000233954	UQCRHL	2179	0.5
370	ENSG00000179743	AL450998.2	13673	0
371	ENSG00000065526	SPEN	92749	0.5
372	ENSG00000116809	ZBTB17	34263	0.5
373	ENSG00000183888	SRARP	4571	1
374	ENSG00000233078	AL355994.3	511	0
375	ENSG00000173641	HSPB7	5566	0
376	ENSG00000186510	CLCNKA	15175	1
377	ENSG00000184908	CLCNKB	13572	1
378	ENSG00000185519	FAM131C	15882	1
379	ENSG00000142627	EPHA2	31732	1
380	ENSG00000227959	AL451042.2	2118	0
381	ENSG00000224621	AL451042.1	2617	0
382	ENSG00000234166	ARHGEF19-AS1	503	0
383	ENSG00000142632	ARHGEF19	14798	1
384	ENSG00000288398	AL109627.1	2661	1
385	ENSG00000132881	CPLANE2	5491	1
386	ENSG00000037637	FBXO42	105640	0.5
387	ENSG00000055070	SZRD1	45570	0.5
388	ENSG00000187144	SPATA21	50307	1
389	ENSG00000157191	NECAP2	19357	1
390	ENSG00000226029	LINC01772	7533	0
391	ENSG00000261135	AL137802.2	1109	0
392	ENSG00000224174	AL137802.1	1102	0
393	ENSG00000233421	LINC01783	2286	0
394	ENSG00000219481	NBPF1	51243	1
395	ENSG00000271732	AL137798.1	338	0
396	ENSG00000282143	AL137798.2	10645	0
397	ENSG00000279151	AL021920.1	4048	0
398	ENSG00000282740	AL021920.3	10651	0
399	ENSG00000058453	CROCC	232691	1
400	ENSG00000223643	BX284668.1	1872	0
401	ENSG00000228549	BX284668.2	12714	0
402	ENSG00000238142	BX284668.5	2129	0
403	ENSG00000272426	BX284668.6	437	0
404	ENSG00000117122	MFAP2	6130	1
405	ENSG00000286898	AL049569.2	1490	1
406	ENSG00000226526	AL049569.1	26165	0
407	ENSG00000159363	ATP13A2	25970	1
408	ENSG00000117118	SDHB	35448	0
409	ENSG00000117115	PADI2	52690	1
410	ENSG00000204362	LINC02783	7834	0
411	ENSG00000282843	AL590644.1	8501	0
412	ENSG00000142623	PADI1	40879	1
413	ENSG00000142619	PADI3	35135	1
414	ENSG00000159339	PADI4	55809	1
415	ENSG00000276747	PADI6	29503	1
416	ENSG00000227751	RCC2-AS1	622	0
417	ENSG00000179051	RCC2	32917	1
418	ENSG00000074964	ARHGEF10L	158176	0.5
419	ENSG00000236648	LINC02810	32353	0
420	ENSG00000117148	ACTL8	71730	1
421	ENSG00000284653	AL357509.1	29900	1
422	ENSG00000261781	LINC01654	8755	0
423	ENSG00000117154	IGSF21	270685	1
424	ENSG00000230035	IGSF21-AS1	12417	0
425	ENSG00000225387	AL591896.1	2685	0
426	ENSG00000179023	KLHDC7A	5144	1
427	ENSG00000009709	PAX7	118020	1
428	ENSG00000179002	TAS1R2	20083	1
429	ENSG00000159423	ALDH4A1	31294	0
430	ENSG00000169991	IFFO2	52396	1
431	ENSG00000272084	AL137127.1	3401	1
432	ENSG00000127481	UBR4	135756	1
433	ENSG00000230424	EMC1-AS1	30203	0
434	ENSG00000127463	EMC1	35867	0.5
435	ENSG00000053372	MRTO4	8323	0.5
436	ENSG00000162482	AKR7A3	6197	1
437	ENSG00000053371	AKR7A2	8181	0
438	ENSG00000040487	SLC66A1	16974	0.5
439	ENSG00000077549	CAPZB	146764	0.5
440	ENSG00000173436	MICOS10	145418	0.5
441	ENSG00000235185	AL031727.2	5030	0
442	ENSG00000158747	NBL1	61477	1
443	ENSG00000158748	HTR6	16091	1
444	ENSG00000162542	TMCO4	117732	1
445	ENSG00000178828	RNF186	1254	1
446	ENSG00000235434	AL391883.1	5135	0
447	ENSG00000169914	OTUD3	30550	1
448	ENSG00000188784	PLA2G2E	3608	1
449	ENSG00000188257	PLA2G2A	4985	1
450	ENSG00000127472	PLA2G5	63732	1
451	ENSG00000117215	PLA2G2D	7627	1
452	ENSG00000158786	PLA2G2F	11060	1
453	ENSG00000227066	Z98257.1	6397	0
454	ENSG00000187980	PLA2G2C	16171	1
455	ENSG00000225986	UBXN10-AS1	2244	0
456	ENSG00000162543	UBXN10	9954	1
457	ENSG00000228105	LINC01757	1569	0
458	ENSG00000284710	Z98257.2	2987	1
459	ENSG00000158816	VWA5B1	63975	1
460	ENSG00000226664	AL020998.1	28976	0
461	ENSG00000236963	LINC01141	70655	0
462	ENSG00000226487	AL139254.1	949	0
463	ENSG00000284641	AL139254.2	2715	1
464	ENSG00000284743	AL139254.3	1618	1
465	ENSG00000162545	CAMK2N1	3819	1
466	ENSG00000090432	MUL1	8703	0
467	ENSG00000183114	FAM43B	2447	1
468	ENSG00000158825	CDA	29817	1
469	ENSG00000158828	PINK1	18053	0
470	ENSG00000117242	PINK1-AS	9536	0
471	ENSG00000244038	DDOST	9777	0.5
472	ENSG00000117245	KIF17	54003	1
473	ENSG00000189410	SH2D5	13106	1
474	ENSG00000233069	AL663074.1	1072	0
475	ENSG00000127483	HP1BP3	44644	0.5
476	ENSG00000075151	EIF4G3	370596	0.5
477	ENSG00000287192	AL031005.2	1110	1
478	ENSG00000117298	ECE1	128325	1
479	ENSG00000236936	AL031005.1	1169	0
480	ENSG00000231105	AL031728.1	6584	0
481	ENSG00000236009	AL592309.2	1594	0
482	ENSG00000142794	NBPF3	44877	1
483	ENSG00000162551	ALPL	69013	1
484	ENSG00000233431	LINC02596	4715	0
485	ENSG00000076864	RAP1GAP	73148	1
486	ENSG00000090686	USP48	105308	1
487	ENSG00000187942	LDLRAD2	12960	1
488	ENSG00000142798	HSPG2	115066	1
489	ENSG00000219073	CELA3B	21620	1
490	ENSG00000142789	CELA3A	10885	1
491	ENSG00000228397	LINC01635	2058	0
492	ENSG00000218510	LINC00339	6665	0
493	ENSG00000070831	CDC42	75849	0.5
494	ENSG00000285752	CDC42-AS1	24610	1
495	ENSG00000230068	CDC42-IT1	5002	1
496	ENSG00000162552	WNT4	26656	1
497	ENSG00000285873	AL445253.1	14551	1
498	ENSG00000184677	ZBTB40	102319	1
499	ENSG00000237200	ZBTB40-IT1	2234	1
500	ENSG00000070886	EPHA8	40106	1
501	ENSG00000173372	C1QA	3050	1
502	ENSG00000159189	C1QC	4477	1
503	ENSG00000173369	C1QB	8875	1
504	ENSG00000133216	EPHB2	210661	1
505	ENSG00000225952	AL512444.1	1136	0
506	ENSG00000215906	LACTBL1	12295	1
507	ENSG00000227868	TEX46	5018	1
508	ENSG00000004487	KDM1A	64246	1
509	ENSG00000240553	AL031428.1	67911	0
510	ENSG00000169641	LUZP1	93785	1
511	ENSG00000179546	HTR1D	2834	1
512	ENSG00000261326	LINC01355	6181	0
513	ENSG00000284726	AL109936.6	5069	1
514	ENSG00000125944	HNRNPR	40565	0.5
515	ENSG00000125945	ZNF436	10388	1
516	ENSG00000249087	ZNF436-AS1	2842	0
517	ENSG00000271420	AL109936.2	649	0
518	ENSG00000204219	TCEA3	43839	1
519	ENSG00000088280	ASAP3	56005	1
520	ENSG00000007968	E2F2	24795	1
521	ENSG00000235052	AL021154.1	1776	0
522	ENSG00000117318	ID3	1575	1
523	ENSG00000285802	AL450043.1	17185	1
524	ENSG00000197880	MDS2	59073	0
525	ENSG00000142676	RPL11	5093	0
526	ENSG00000236810	ELOA-AS1	71395	0
527	ENSG00000011007	ELOA	18904	0.5
528	ENSG00000057757	PITHD1	9814	0.5
529	ENSG00000011009	LYPLA2	4394	1
530	ENSG00000117308	GALE	5182	1
531	ENSG00000117305	HMGCL	36735	0
532	ENSG00000179163	FUCA1	23217	1
533	ENSG00000188822	CNR2	42847	1
534	ENSG00000232557	AL590609.3	774	0
535	ENSG00000189266	PNRC2	6623	0.5
536	ENSG00000188529	SRSF10	16580	0.5
537	ENSG00000225315	AL591178.1	45964	0
538	ENSG00000142661	MYOM3	56100	1
539	ENSG00000230703	AL591178.2	16791	0
540	ENSG00000142677	IL22RA1	23369	1
541	ENSG00000185436	IFNLR1	33791	1
542	ENSG00000230023	LINC02800	11453	0
543	ENSG00000232298	AL138902.1	14345	0
544	ENSG00000158055	GRHL3	45160	1
545	ENSG00000001460	STPG1	59935	1
546	ENSG00000001461	NIPAL3	57174	1
547	ENSG00000286061	RCAN3AS	39146	1
548	ENSG00000117602	RCAN3	38689	1
549	ENSG00000264443	NCMAP-DT	17222	0
550	ENSG00000184454	NCMAP	53241	1
551	ENSG00000133226	SRRM1	41565	0.5
552	ENSG00000284699	AL445648.1	12702	1
553	ENSG00000169504	CLIC4	98939	0
554	ENSG00000020633	RUNX3	65610	1
555	ENSG00000229162	AL445471.1	1752	0
556	ENSG00000261025	AL445471.2	2442	0
557	ENSG00000285823	LINC02793	6268	1
558	ENSG00000233755	AL050344.1	69413	0
559	ENSG00000231953	AL031432.1	1298	0
560	ENSG00000117614	SYF2	10226	0.5
561	ENSG00000284602	AL031432.4	2189	1
562	ENSG00000284657	AL031432.5	759	1
563	ENSG00000117616	RSRP1	95964	1
564	ENSG00000272432	AL031432.3	484	0
565	ENSG00000187010	RHD	58052	1
566	ENSG00000183726	TMEM50A	24044	0.5
567	ENSG00000188672	RHCE	67943	1
568	ENSG00000204178	MACO1	69351	0.5
569	ENSG00000157978	LDLRAP1	25306	1
570	ENSG00000225643	AL606491.1	8878	0
571	ENSG00000117643	MAN1C1	168739	1
572	ENSG00000233478	AL031280.1	14567	0
573	ENSG00000162430	SELENON	18045	1
574	ENSG00000228172	AL020996.1	4048	0
575	ENSG00000117640	MTFR1L	14302	0.5
576	ENSG00000272478	AL020996.3	221	0
577	ENSG00000127423	AUNIP	27545	1
578	ENSG00000236528	AL033528.2	3807	0
579	ENSG00000182749	PAQR7	10043	1
580	ENSG00000117632	STMN1	22810	1
581	ENSG00000158006	PAFAH2	38350	1
582	ENSG00000158008	EXTL1	16580	1
583	ENSG00000158014	SLC30A2	8866	1
584	ENSG00000284309	AL391650.2	2434	1
585	ENSG00000158022	TRIM63	17132	1
586	ENSG00000175087	PDIK1L	14390	1
587	ENSG00000197245	FAM110D	4883	1
588	ENSG00000282872	C1orf232	4420	0
589	ENSG00000236782	AL391650.1	2315	0
590	ENSG00000142684	ZNF593	965	0.5
591	ENSG00000142675	CNKSR1	12400	1
592	ENSG00000188782	CATSPER4	12407	1
593	ENSG00000130695	CEP85	44608	1
594	ENSG00000142669	SH3BGRL3	1436	1
595	ENSG00000158062	UBXN11	37035	1
596	ENSG00000169442	CD52	2565	1
597	ENSG00000176092	CRYBG2	38382	1
598	ENSG00000176083	ZNF683	12888	1
599	ENSG00000131914	LIN28A	18911	1
600	ENSG00000117682	DHDDS	39024	1
601	ENSG00000225891	AL513365.2	5258	0
602	ENSG00000198830	HMGN2	4202	1
603	ENSG00000117676	RPS6KA1	45269	0
604	ENSG00000260063	AL512408.1	1999	0
605	ENSG00000117713	ARID1A	88868	1
606	ENSG00000060642	PIGV	10926	1
607	ENSG00000204160	ZDHHC18	30916	1
608	ENSG00000175793	SFN	1307	1
609	ENSG00000142751	GPN2	14151	0.5
610	ENSG00000226698	AL034380.1	2112	0
611	ENSG00000198746	GPATCH3	9979	1
612	ENSG00000090273	NUDC	46633	0.5
613	ENSG00000131910	NR0B2	2486	1
614	ENSG00000175707	KDF1	10906	1
615	ENSG00000253368	TRNP1	7194	1
